dataset,method,seed,inertia,iterations,converged,runtime_seconds
digits,kmeans++,10007,4663.192421727093,15,True,0.14293379999799072
digits,kmeans++,10008,4575.642261525156,12,True,0.1095668999987538
digits,kmeans++,10009,4552.034323088539,11,True,0.10659920000034617
digits,kmeans++,10010,4576.125421687233,17,True,0.15383600000131992
digits,kmeans++,10011,4551.814778162944,13,True,0.12077880000288133
digits,kmeans++,10012,4551.789789068154,18,True,0.1604062000005797
digits,kmeans++,10013,4629.254816589317,15,True,0.13599079999767127
digits,kmeans++,10014,4551.629858711235,16,True,0.14202900000236696
digits,kmeans++,10015,4570.361176352796,14,True,0.126531599998998
digits,kmeans++,10016,4748.197537385178,20,True,0.17301080000106595
digits,kmeans++,10017,4726.141777148938,14,True,0.12502190000304836
digits,kmeans++,10018,4597.8800751864765,13,True,0.11962149999817484
digits,kmeans++,10019,4577.477649592987,18,True,0.16074969999681343
digits,kmeans++,10020,4563.997760869284,21,True,0.18653420000191545
digits,kmeans++,10021,4606.462333670996,12,True,0.11237059999984922
digits,kmeans++,10022,4572.15147970522,12,True,0.11120369999844115
digits,kmeans++,10023,4575.77337606972,15,True,0.1332799999981944
digits,kmeans++,10024,4658.826054509693,23,True,0.20228990000032354
digits,kmeans++,10025,4574.256601463816,8,True,0.07625329999791575
digits,kmeans++,10026,4576.425811990481,15,True,0.1370721000021149
digits,kmeans++,10027,4756.604697893326,17,True,0.1560179000007338
digits,kmeans++,10028,4927.275815433284,15,True,0.13763860000108252
digits,kmeans++,10029,4606.331976603677,17,True,0.15505560000019614
